20210721 00:00,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:01,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:02,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:03,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:04,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:05,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:06,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:07,0,0,0,0,0,0,0,0,0,0,0,64,0,65416,63436,37
20210721 00:08,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:09,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:10,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:12,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:13,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:14,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:15,0,0,0,0,0,0,0,0,0,0,0,63,0,65416,63436,37
20210721 00:16,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:17,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:18,0,0,0,0,0,0,0,0,0,0,0,66,0,65416,63436,37
20210721 00:19,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:20,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:21,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:22,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:23,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:24,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:25,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:26,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:27,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:28,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:29,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:30,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:31,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:32,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:33,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:34,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:35,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:36,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:37,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:38,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:39,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:40,0,0,0,0,0,0,0,0,0,0,0,66,0,65416,63436,37
20210721 00:41,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:42,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:43,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:44,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:45,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:46,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:47,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:48,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:49,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:50,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:51,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:52,0,0,0,0,0,0,0,0,0,0,0,64,0,65416,63436,37
20210721 00:53,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:54,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:55,0,0,0,0,0,0,0,0,0,0,0,64,0,65416,63436,37
20210721 00:56,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:57,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
20210721 00:58,0,0,0,0,0,0,0,0,0,0,0,65,0,65416,63436,37
