20210713 10:51,171,5772,1731,76,4888,1466,0,0,0,0,0,1148,65416,63436,37
20210713 10:52,171,5772,1731,76,4888,1466,0,0,0,0,0,716,65416,63436,37
20210713 10:53,169,5769,1730,76,4888,1466,0,0,0,0,0,608,65416,63436,37
20210713 10:54,170,5769,1730,76,4888,1466,0,0,0,0,0,783,65416,63436,37
20210713 10:55,169,5769,1730,77,4886,1466,0,0,0,0,0,932,65416,63436,37
20210713 10:56,169,5769,1730,76,4888,1466,0,0,0,0,0,720,65416,63436,37
20210713 10:57,170,5769,1730,76,4887,1466,0,0,0,0,0,471,65416,63436,37
20210713 10:58,171,5769,1730,77,4887,1465,0,0,0,0,0,798,65416,63436,37
20210713 10:59,168,5769,1730,76,4886,1466,0,0,0,0,0,933,65416,63436,37
20210713 11:00,168,5769,1730,76,4888,1466,0,0,0,0,0,717,65416,63436,37
20210713 11:01,169,5769,1730,76,4888,1466,0,0,0,0,0,716,65416,63436,37
20210713 11:02,167,5769,1730,76,4888,1466,0,0,0,0,0,933,65416,63436,37
20210713 11:03,167,5769,1730,76,4888,1466,0,0,0,0,0,799,65416,63436,37
20210713 11:04,168,5769,1730,76,4887,1466,0,0,0,0,0,717,65416,63436,37
20210713 11:05,170,5769,1730,76,4888,1466,0,0,0,0,0,607,65416,63436,37
20210713 11:06,171,5772,1731,77,4887,1466,0,0,0,0,0,933,65416,63436,37
20210713 11:07,166,5769,1731,76,4888,1466,0,0,0,0,0,716,65416,63436,37
20210713 11:08,168,5769,1730,76,4889,1466,0,0,0,0,0,471,65416,63436,37
20210713 11:09,168,5772,1731,75,4888,1466,0,0,0,0,0,716,65416,63436,37
20210713 11:10,167,5769,1730,76,4888,1466,0,0,0,0,0,1151,65416,63436,37
20210713 11:11,166,5769,1730,76,4888,1466,0,0,0,0,0,717,65416,63436,37
20210713 11:13,166,5772,1731,76,4888,1466,0,0,0,0,0,605,65416,63436,37
20210713 11:14,168,5772,1731,76,4888,1466,0,0,0,0,0,797,65416,63436,37
20210713 11:15,168,5772,1731,76,4888,1466,0,0,0,0,0,609,65416,63436,37
