20210813 09:56:47,23.5,34.9,2248,7.8,34.7,2126,255,1
20210813 09:56:48,23.5,35.2,2267,7.8,35.0,2143,254,1
20210813 09:56:49,23.4,35.5,2288,7.8,35.3,2165,392,2
20210813 09:56:50,23.2,35.8,2307,7.8,35.6,2182,391,2
20210813 09:56:51,23.3,36.1,2324,7.8,35.9,2198,395,2
20210813 09:56:52,23.1,36.4,2348,7.7,36.2,2220,392,2
20210813 09:56:53,23.5,36.7,2363,7.7,36.5,2237,393,2
20210813 09:56:54,23.3,37.0,2382,7.7,36.8,2259,393,2
20210813 09:56:55,23.0,37.3,2403,7.7,37.1,2276,398,2
20210813 09:56:56,23.1,37.6,2422,7.7,37.5,2292,396,2
20210813 09:56:57,22.9,37.8,2444,7.7,37.7,2314,393,2
20210813 09:56:58,22.9,38.1,2463,7.7,38.0,2331,475,2
20210813 09:56:59,22.9,38.5,2482,7.7,38.4,2347,473,2
20210813 09:57:00,23.0,38.8,2501,7.7,38.6,2370,393,2
20210813 09:57:02,22.7,39.1,2518,7.7,39.0,2386,391,2
20210813 09:57:03,22.7,39.4,2539,7.7,39.3,2409,394,2
20210813 09:57:04,22.8,39.7,2559,7.7,39.5,2425,393,2
20210813 09:57:05,22.6,40.0,2580,7.7,39.9,2441,392,2
20210813 09:57:06,22.6,40.3,2599,7.7,40.2,2464,391,2
20210813 09:57:07,22.5,40.6,2620,7.7,40.5,2480,473,2
20210813 09:57:08,22.6,40.9,2640,7.7,40.8,2503,610,3
20210813 09:57:09,22.7,41.2,2659,7.7,41.1,2519,476,2
20210813 09:57:10,22.5,41.5,2678,7.7,41.4,2535,474,2
20210813 09:57:11,22.6,41.8,2695,7.7,41.7,2558,471,2
20210813 09:57:12,22.5,42.1,2714,7.7,42.0,2574,610,3
20210813 09:57:13,22.5,42.4,2736,7.7,42.3,2597,609,3
20210813 09:57:14,22.7,42.7,2755,7.7,42.6,2613,610,3
20210813 09:57:15,22.8,43.0,2774,7.7,42.9,2629,613,3
20210813 09:57:16,22.6,43.3,2793,7.7,43.2,2652,610,3
20210813 09:57:17,23.1,43.9,2825,7.7,43.8,2678,608,3
20210813 09:57:19,22.8,44.2,2849,7.7,44.0,2701,716,4
20210813 09:57:20,22.6,44.5,2868,7.7,44.4,2717,717,4
20210813 09:57:21,22.8,44.8,2885,7.7,44.7,2740,608,3
20210813 09:57:22,22.6,45.1,2904,7.7,44.9,2756,608,3
20210813 09:57:23,22.6,45.4,2925,7.7,45.3,2779,609,3
20210813 09:57:24,23.0,45.7,2944,7.7,45.6,2795,473,2
20210813 09:57:25,22.8,46.0,2966,7.7,45.9,2811,611,3
20210813 09:57:26,22.6,46.3,2985,7.7,46.2,2834,608,3
20210813 09:57:27,22.6,46.6,3004,7.6,46.5,2850,608,3
20210813 09:57:28,22.4,46.9,3023,7.6,46.8,2873,608,3
20210813 09:57:29,23.0,47.2,3042,7.6,47.2,2889,608,3
20210813 09:57:30,22.5,47.5,3062,7.6,47.4,2909,474,2
20210813 09:57:31,22.4,47.8,3081,7.6,47.7,2928,470,2
20210813 09:57:32,22.3,48.1,3100,7.6,48.1,2944,609,3
20210813 09:57:33,22.8,48.4,3119,7.6,48.4,2967,610,3
20210813 09:57:34,22.8,48.7,3138,7.5,48.6,2983,718,4
20210813 09:57:35,22.5,49.1,3160,7.6,49.0,2999,715,4
20210813 09:57:36,22.5,49.4,3179,7.6,49.0,3001,800,4
20210813 09:57:37,22.3,49.7,3198,7.7,49.0,3003,609,3
20210813 09:57:38,22.5,50.0,3217,7.7,49.0,3001,394,2
20210813 09:57:39,22.4,50.3,3236,7.6,49.0,3001,395,2
20210813 09:57:40,22.6,50.6,3256,7.6,49.0,3001,610,3
20210813 09:57:41,22.6,50.9,3275,7.7,49.0,3001,609,3
20210813 09:57:42,22.5,51.1,3296,7.6,49.0,3001,615,3
20210813 09:57:43,23.1,51.4,3315,7.7,49.0,3001,613,3
20210813 09:57:44,22.6,51.7,3334,7.6,49.0,3001,473,2
20210813 09:57:45,22.5,52.0,3354,7.5,49.0,3001,474,2
20210813 09:57:46,22.3,52.3,3375,7.6,49.0,3001,472,2
20210813 09:57:47,22.5,52.6,3394,7.6,49.0,3001,609,3
20210813 09:57:48,22.1,53.0,3415,7.6,49.0,3001,718,4
20210813 09:57:49,21.9,53.3,3432,7.6,49.0,3001,717,4
20210813 09:57:50,21.9,53.6,3452,7.6,49.0,3001,773,4
20210813 09:57:51,22.2,53.9,3473,7.6,48.9,3001,475,2
20210813 09:57:52,22.6,54.2,3492,7.5,49.0,3001,608,3
20210813 09:57:53,22.0,54.5,3511,7.6,49.0,3001,718,4
20210813 09:57:54,22.1,54.8,3531,7.6,49.0,3001,610,3
20210813 09:57:55,22.0,55.1,3545,7.6,49.0,3001,610,3
20210813 09:57:56,22.6,55.4,3567,7.6,49.0,3001,718,4
20210813 09:57:57,22.8,55.7,3586,7.5,49.0,3001,717,4
20210813 09:57:58,22.3,56.0,3605,7.6,49.0,3001,796,4
20210813 09:57:59,22.0,56.3,3629,7.6,49.0,3001,720,4
20210813 09:58:00,22.0,56.6,3648,7.6,49.0,3001,719,4
20210813 09:58:01,22.1,56.9,3667,7.6,49.0,3001,781,4
